Dist Code,Year,State Code,State Name,Dist Name,JANUARY RAINFALL (Millimeters),FEBRUARY RAINFALL (Millimeters),MARCH RAINFALL (Millimeters),APRIL RAINFALL (Millimeters),MAY RAINFALL (Millimeters),JUNE RAINFALL (Millimeters),JULY RAINFALL (Millimeters),AUGUST RAINFALL (Millimeters),SEPTEMBER RAINFALL (Millimeters),OCTOBER RAINFALL (Millimeters),NOVEMBER RAINFALL (Millimeters),DECEMBER RAINFALL (Millimeters),ANNUAL RAINFALL (Millimeters)
82,2013,5,Karnataka,Kodagu,0,22.5,84.3,20.1,105.6,711,1169.7,488.8,238.9,159.7,28.2,2.5,3031.3
82,2014,5,Karnataka,Kodagu,3.3,0.6,7.1,83.3,210,282.6,945.8,589.6,354.2,108.2,20.6,24.7,2630
82,2015,5,Karnataka,Kodagu,0.2,4.3,37.1,139.5,184,922.1,403,308.8,250,124.9,102,10.7,2486.6
82,2016,5,Karnataka,Kodagu,0.3,0.8,5.5,27.3,148.1,525.8,486.3,330.5,148.3,45.2,31.4,49.9,1799.4
82,2017,5,Karnataka,Kodagu,57.5,0,13.5,91.5,176.7,402.4,523.7,556.1,340.4,90.2,12.3,23.8,2288.1
549,2000,5,Karnataka,Bangalore(Rural),0,31,0,59,81,64,74,203,199,327,11,4,1053
549,2001,5,Karnataka,Bangalore(Rural),1,0,2,88,19,5,68,86,274,143,36,1,723
549,2002,5,Karnataka,Bangalore(Rural),0,0,2,9,121,83,33,29,62,100,30,2,471
549,2003,5,Karnataka,Bangalore(Rural),-1,-1,-1,52,20,68,69,131,55,177,13,0,585
549,2004,5,Karnataka,Bangalore(Rural),3,6,6,65,218,52,199,40,209,186,18,0,1002
549,2005,5,Karnataka,Bangalore(Rural),4,3,6,50,210,88,145,146,215,461,75,12,1415
549,2006,5,Karnataka,Bangalore(Rural),0,0,72,11,80,110,42,32,48,70,88,2,555
549,2007,5,Karnataka,Bangalore(Rural),0,1.3,0,46.3,76.6,57.1,100.8,133.6,166,184.2,18.6,20.3,804.8
549,2008,5,Karnataka,Bangalore(Rural),0,1,0,56,77,17,169,202,115,142,29,5,680
549,2009,5,Karnataka,Bangalore(Rural),0,0,17.3,11.7,92.4,96.3,30,101.5,258.1,23.2,0,0,630.5
549,2010,5,Karnataka,Bangalore(Rural),0,0,12,49,90,94,120,128,107,67,112,5,782
